Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
3/1/2001,-0.007816633,0.056908705,0.002404962,,0.00889425,-0.005916799,,
4/1/2001,-0.000948515,-0.0561637,0.009686927,,0.008398339,0.012621432,,
5/1/2001,0.021858721,0.003219573,0.010843868,,0.009208263,0.025137288,,
6/1/2001,0.010967734,0.00798619,0.007199318,,0.000694351,-0.002564776,,
7/1/2001,-0.004911011,0.016144677,0.015898109,,0.007536518,0.002186223,,
8/1/2001,0.001532569,0.033786537,0.010625584,,0.013285932,0.013803136,,
9/1/2001,-0.008844338,0.063229143,-0.009441675,,0.000658939,-0.027897553,,
10/1/2001,-0.005202961,-0.01072154,0.011453641,,0.008675193,0.003350893,,
11/1/2001,0.020726382,-0.046500203,0.019497532,,0.00422053,0.010248655,,
12/1/2001,0.026113529,-0.010099379,0.015164875,,0.006168305,0.012279033,,
1/1/2002,0.011102963,0.015591698,0.021614857,,0.01415625,-0.000151567,,
2/1/2002,0.000874952,0.017814546,0.003758706,,0.001663276,-0.003248392,,
3/1/2002,0.011353817,-0.031917509,0.015375304,,0.006817067,0.01870554,,
4/1/2002,0.009776413,0.018277148,0.011088074,,0.008615143,0.00854848,,
5/1/2002,0.004210283,0.013022139,0.00427346,,0.005140488,-0.003355099,,
6/1/2002,-0.025656692,0.03938349,-0.033836182,,-0.012374931,-0.03262305,,
7/1/2002,-0.029708208,0.042892427,-0.02141768,,-0.01112682,-0.021598777,,
8/1/2002,0.011813076,0.005993205,0.006684411,,0.005981266,-0.001232759,,
9/1/2002,-0.014639927,0.036858313,0.007361723,,0.003515542,-0.009680107,,
10/1/2002,0.00805339,-0.025680373,0.003953663,,0.005646472,-0.000560096,,
11/1/2002,0.012125336,-0.027767221,0.042627477,,0.015343067,0.018228221,,
12/1/2002,0.003402124,0.034315558,0.025011777,,0.012216512,-0.003087029,,
1/1/2003,0.000112403,0.012778723,0.032984364,,0.020412834,0.025084111,,
2/1/2003,0.000587418,0.00752203,0.01894388,,0.006475228,-0.004924819,,
3/1/2003,0.007167624,-0.009320792,0.023732459,,0.008452801,0.002010968,,
4/1/2003,0.027074046,-0.057038993,0.04859701,,0.015983433,0.031896312,,
5/1/2003,0.025153995,-0.049683978,0.031298586,,0.018831928,0.035073222,,
6/1/2003,0.011576918,-0.007674744,0.032250124,,0.007407995,0.027874055,,
7/1/2003,0.004803684,-0.024121855,0.012519514,,0.005633266,-0.006733507,,
8/1/2003,0.010549805,-0.023220572,0.012658947,,0.003955991,0.020851185,,
9/1/2003,0.002407634,0.010594726,0.032831979,,0.015487565,0.011477506,,
10/1/2003,0.023914505,-0.030287621,0.033824891,,0.01221098,0.016516727,,
11/1/2003,0.014056873,-0.004712553,0.021887926,,0.012080354,0.008297722,,
12/1/2003,0.011500305,0.002139611,0.030624627,,0.010418163,0.033427182,,
1/1/2004,0.016801917,-0.006131318,0.026833426,,0.0182368,0.031914198,,
2/1/2004,0.016215923,0.004519249,0.006490404,,0.007961171,0.015830171,,
3/1/2004,0.005795448,-0.001303495,0.005135127,,0.006587111,0.009735421,,
4/1/2004,-0.008113754,0.01232371,0.008535903,,0.005936294,0.002841425,,
5/1/2004,-0.003169821,-0.010489445,-9.98E-05,,0.000628938,-0.003771268,,
6/1/2004,0.00650806,-0.004691253,0.013826355,,-0.000813398,0.012376634,,
7/1/2004,-0.011821597,0.019604489,0.004976252,,-0.000111549,-0.007564175,,
8/1/2004,0.007421735,0.002138784,0.008463697,,0.00403341,0.006996446,,
9/1/2004,0.020552703,-0.003456314,0.01369769,,0.006859575,0.017293655,,
10/1/2004,0.013483931,-0.007826811,0.011944484,,0.004373462,0.008399122,,
11/1/2004,0.022815728,-0.009824404,0.029985541,,0.025031834,0.057540165,,
12/1/2004,0.026526698,-0.015404718,0.023886387,,0.016647148,0.034389889,,
1/1/2005,0.003983331,0.012982177,0.002122027,,0.001443752,0.004746063,,
2/1/2005,0.017640377,0.009062357,0.015323175,,0.008822192,0.030400896,,
3/1/2005,-0.006119803,0.007385477,-0.002882519,,0.002652334,-0.014964583,,
4/1/2005,-0.016443476,0.01713665,-0.008060093,,-0.008763346,-0.024485666,,
5/1/2005,0.026190976,-0.023106666,0.00451474,,0.000677696,0.005005649,,
6/1/2005,0.021646444,0.003217512,0.015366601,,0.008194386,0.017442879,,
7/1/2005,0.021395585,-0.017159999,0.019253139,,0.016208812,0.02690329,,
8/1/2005,0.006804322,0.023824979,0.015996094,,0.006452412,0.009909168,,
9/1/2005,0.013240313,0.013168281,0.007872146,,0.011592042,0.009856204,,
10/1/2005,-0.023974874,0.015718128,-0.005384653,,-0.009246648,-0.03527017,,
11/1/2005,0.027536323,-0.014592357,0.009020926,,0.010773926,0.010992955,,
12/1/2005,0.019954659,0.011820458,0.01397986,,0.017412426,0.023312531,,
1/1/2006,0.028847652,-0.002208261,0.018967347,,0.025929421,0.030156874,,
2/1/2006,0.003765518,-0.000628889,0.006898508,,0.010781434,0.005270285,,
3/1/2006,0.018035589,-0.0029209,0.016799095,,0.014047272,0.016502163,,
4/1/2006,0.010369287,0.008821677,0.015776973,,0.01536358,0.021078939,,
5/1/2006,-0.027794506,0.034214159,0.009342093,,-0.002986166,-0.013142065,,
6/1/2006,-0.00796518,-0.005114455,0.000488317,,0.000565438,-0.005119662,,
7/1/2006,-0.007502412,0.026138704,0.003236665,,0.004056498,-0.00648372,,
8/1/2006,0.018570251,0.00295403,0.011353422,,0.008243698,0.012051138,,
9/1/2006,0.01230329,-0.008773694,0.007645863,,0.012804158,0.009053287,,
10/1/2006,0.023866358,-0.015056313,0.025824185,,0.016050246,0.010686682,,
